Nouns,frequency,number_of_reviews
nes,84,35
lack,84,41
fairy,84,35
cover,84,32
war,84,26
attacks,84,29
simulator,84,26
complaint,82,40
child,82,37
art,82,36
cartridge,82,37
purchase,82,40
dragon,82,23
voice,82,37
cheats,82,33
red,82,31
start,82,38
classic,80,39
hand,80,37
blood,80,30
waste,80,39
note,80,34
megaman,80,12
ways,80,36
top,80,38
childhood,80,40
word,80,38
cords,80,27
challenges,80,33
wrestling,80,21
vii,78,23
beginning,78,37
air,78,31
feeling,78,32
shipping,78,37
stages,78,21
board,78,28
wrestlers,78,14
gta,78,20
kong,78,32
damage,78,30
blast,76,36
silicone,76,27
horse,76,27
banjokazooie,76,23
gems,76,21
crystals,76,24
market,76,33
sounds,76,34
castle,76,28
cases,76,23
stage,76,19
choice,76,34
analog,76,26
detail,76,36
map,76,23
dvd,76,24
vista,74,31
skill,74,32
ages,74,34
scenes,74,30
temples,74,34
none,74,36
gruntilda,74,14
kinda,74,31
service,74,33
fight,74,28
ships,74,23
sun,74,28
fandango,72,19
wall,72,31
hell,72,33
jump,72,32
evil,72,31
addition,72,34
shooters,72,32
colors,72,29
environment,72,28
shooting,70,26
setting,70,23
codes,70,27
maps,70,28
kokiri,68,21
pad,68,26
girl,68,29
rocks,68,34
scenery,68,31
ryu,68,18
croft,68,18
psx,68,18
bucks,68,33
wind,68,29
period,68,30
quake,68,25
face,68,27
manny,68,16
code,68,27
agent,68,26
dance,68,16
alert,68,21
lol,68,30
gem,66,24
settings,66,30
favorites,66,33
grim,66,19
bonus,66,27
halo,66,24
feet,66,29
load,66,26
force,66,28
fine,64,32
port,64,21
squadron,64,14
flight,64,19
xfiles,64,19
combos,64,21
london,64,23
courses,64,20
standards,64,32
animation,64,24
franchise,64,31
drive,64,24
class,64,23
connection,62,25
environments,62,23
turn,62,27
doubt,62,30
movement,62,29
health,62,25
hardcore,62,27
journey,62,30
complaints,62,28
step,62,27
island,62,25
mine,62,29
need,62,31
seconds,62,28
but,62,21
platform,62,22
marvel,62,11
group,62,27
cloud,62,18
shot,62,28
trouble,62,30
background,60,26
shame,60,29
violence,60,27
fighters,60,21
voices,60,27
era,60,24
stone,60,24
nod,60,15
aspects,60,29
sony,60,23
door,60,25
boxes,60,20
donkey,60,28
length,60,28
view,58,28
wcw,58,11
user,58,23
menu,58,24
god,58,27
road,58,24
hit,58,27
score,58,25
realism,58,18
rainbow,58,23
doom,58,23
battery,58,19
alpha,58,11
attention,58,26
base,58,20
try,58,29
desert,58,24
bof,58,14
types,58,25
bunch,58,26
selection,58,27
grand,58,20
microsoft,56,18
dsi,56,15
form,56,24
direction,56,24
installation,56,21
daughter,56,24
snow,56,24
videos,56,25
adventures,56,24
village,56,22
entertainment,56,27
terms,56,24
beat,56,20
opponent,56,21
access,56,21
date,56,28
campaign,54,19
computers,54,24
factor,54,26
depth,54,25
tag,54,16
guitar,54,22
change,54,26
vehicles,54,21
fit,54,21
live,54,17
practice,54,23
cube,54,23
reasons,54,26
run,54,24
opponents,54,22
rally,54,14
classics,54,25
dollars,54,24
moment,54,25
auto,52,18
device,52,19
moments,52,23
jack,52,12
role,52,23
king,52,20
ace,52,12
xmen,52,16
list,52,24
test,52,22
heck,52,22
navi,52,20
stones,52,15
elements,52,23
support,52,22
new,52,20
light,52,19
yoshi,52,22
myst,52,14
turismo,52,14
dont,52,25
lives,52,19
bottom,50,21
boring,50,22
anybody,50,24
minigames,50,22
developers,50,22
zone,50,8
rate,50,22
field,50,18
scene,50,22
notch,50,23
events,50,23
extension,50,21
magic,50,24
starcraft,48,15
fights,48,20
combo,48,16
abilities,48,22
town,48,20
set,48,20
turbo,48,9
process,48,24
wheel,48,19
progress,48,21
facility,48,20
walls,48,19
adults,48,22
waker,48,21
crap,48,23
front,48,23
opening,48,21
instructions,48,21
treasure,48,20
energy,48,16
future,48,21
klonoa,46,9
edge,46,22
joystick,46,18
generation,46,20
forces,46,21
ram,46,17
floor,46,21
unit,46,21
luigi,46,19
technology,46,22
dog,46,19
stories,46,20
divinyls,46,8
simulation,46,18
file,46,19
products,46,21
mess,46,21
sleeve,46,11
disk,46,21
tower,46,11
objectives,46,15
rrb,46,18
concept,46,21
tooty,46,11
expansion,46,21
tiberian,46,18
gdi,44,13
bowser,44,18
protector,44,11
favorite,44,21
scratches,44,22
format,44,21
analysis,44,7
minute,44,22
content,44,19
tricks,44,17
parents,44,21
switch,44,16
plus,44,22
description,44,22
copies,44,16
data,44,19
grunty,44,10
sim,44,14
mood,44,19
effort,44,21
film,44,16
luck,44,21
dialogue,44,21
combination,44,18
lair,44,9
customer,44,20
question,44,17
interest,42,20
manual,42,21
gameboy,42,21
theft,42,13
section,42,15
ever,42,19
questions,42,13
backgrounds,42,18
toad,42,18
earth,42,19
the,42,17
ball,42,16
mini,42,17
files,42,14
ocean,42,17
improvement,42,20
owner,42,20
cut,42,21
lines,42,19
standard,42,20
flaw,42,19
scully,42,16
summer,42,20
animals,42,19
ruins,42,18
position,42,12
iii,42,16
trust,42,21
locations,42,18
shots,42,18
wario,42,18
development,42,18
mail,42,20
doors,42,18
masterpiece,42,19
mumbo,42,12
everybody,42,21
information,42,19
business,42,16
size,42,19
triforce,42,14
twists,42,20
thought,42,19
bear,42,18
station,40,14
codemasters,40,14
beauty,40,20
driver,40,16
ice,40,18
component,40,17
plastic,40,20
racers,40,14
frustration,40,18
shadow,40,18
relics,40,12
upgrades,40,15
launcher,40,15
visuals,40,20
bombs,40,18
epona,40,18
demo,40,18
pictures,40,17
error,40,19
changes,40,18
charm,40,19
bird,40,17
physics,40,15
jiggies,40,6
animations,40,16
bar,40,17
charge,40,18
joy,40,18
cortex,40,10
engines,40,7
gran,40,13
message,40,16
search,40,17
rare,40,13
ammo,40,17
sleeves,38,2
account,38,17
dragons,38,13
cause,38,17
hassle,38,15
thats,38,18
mystery,38,18
nostalgia,38,18
easy,38,17
packaging,38,17
distance,38,18
solution,38,18
function,38,19
self,38,16
sequence,38,18
collector,38,19
dust,38,16
lucasarts,38,16
target,38,15
south,38,13
mouse,38,18
back,38,18
call,38,16
exploration,38,13
square,38,16
riven,38,12
shell,38,10
album,38,6
out,38,15
formula,38,14
replacement,38,17
fish,38,19
hope,38,19
break,38,18
have,38,18
loads,36,16
boards,36,17
westwood,36,12
planet,36,14
cutscenes,36,16
fishing,36,12
remake,36,11
kartia,36,5
press,36,14
cons,36,17
ton,36,18
crystal,36,15
patience,36,17
drivers,36,17
wwe,36,5
touch,36,18
site,36,16
introduction,36,16
motion,36,15
valley,36,17
eidos,36,13
men,36,16
bow,36,15
guards,36,15
shield,36,14
page,36,13
response,36,14
cost,36,17
books,36,18
mulder,36,14
show,36,14
delivery,36,17
twisted,36,9
humor,36,16
wish,36,17
array,36,16
effect,36,18
jungle,36,12
trip,36,15
hill,36,10
command,36,15
spot,36,16
bottles,36,11
glitches,36,14
kinds,36,18
firstperson,34,14
tasks,34,16
revolution,34,12
ports,34,16
ghost,34,14
hundreds,34,15
hardware,34,13
details,34,17
sequels,34,14
tournament,34,15
laptop,34,15
competition,34,16
gamei,34,17
missiles,34,9
excitement,34,16
purpose,34,17
advantage,34,17
best,34,16
travel,34,13
con,34,15
gymkhana,34,7
materia,34,11
pros,34,16
complex,34,17
twist,34,15
micro,34,14
championship,34,7
bomb,34,13
path,34,16
swords,34,17
ztargeting,34,15
shape,34,15
plug,34,15
keyboard,34,16
vice,34,12
surprises,34,16
mistake,34,16
snowboarding,34,13
installment,34,16
leader,34,15
themes,34,14
frame,34,12
brain,34,15
chessbase,34,6
aku,34,5
objects,32,14
etc,32,16
trick,32,14
attitude,32,10
wire,32,14
surface,32,14
season,32,12
beginners,32,14
woods,32,13
arena,32,13
hype,32,10
return,32,16
owners,32,15
expectations,32,16
buster,32,7
warp,32,9
range,32,13
majority,32,14
silver,32,12
eggs,32,11
middle,32,15
truth,32,16
soldiers,32,9
garbage,32,16
resolution,32,12
success,32,15
tunes,32,16
killer,32,16
terrain,32,16
database,32,9
differences,32,12
shells,32,13
india,32,13
planes,32,10
empire,32,11
building,32,16
spirit,32,14
research,32,16
must,32,14
monkey,32,14
isnt,32,14
fault,30,13
names,30,15
makers,30,14
disappointment,30,13
source,30,9
gear,30,13
birthday,30,15
saturn,30,9
wait,30,14
protectors,30,10
heroes,30,8
improvements,30,10
kingdom,30,14
ive,30,15
body,30,13
sequences,30,14
stores,30,15
castles,30,13
enjoyment,30,14
surprise,30,14
powers,30,15
state,30,12
fate,30,4
rockband,30,8
balance,30,15
shinra,30,8
material,30,15
boat,30,14
category,30,14
strength,30,13
arrows,30,12
rocket,30,12
walkthrough,30,15
website,30,13
boats,30,12
jiggy,30,6
core,30,13
compatibility,30,13
duty,30,13
ride,30,14
curse,30,11
universe,30,14
image,30,14
coco,30,9
sidequests,30,13
appeal,30,15
equipment,30,15
mines,30,13
eyes,30,15
traps,30,14
configuration,28,13
akuma,28,8
ass,28,8
tiger,28,12
patch,28,12
laser,28,12
mercy,28,10
matches,28,13
chessmaster,28,8
zora,28,13
cousin,28,13
hulk,28,11
its,28,9
structures,28,10
imagination,28,14
wow,28,13
corner,28,12
round,28,10
adult,28,13
personality,28,12
intelligence,28,13
train,28,10
refund,28,12
advice,28,12
lag,28,13
couch,28,13
unlock,28,13
smell,28,5
sega,28,12
overworld,28,8
pak,28,10
pages,28,10
exception,28,14
arrow,28,12
trees,28,8
key,28,12
result,28,13
clay,28,5
ideas,28,13
hits,28,13
america,28,13
event,28,10
limit,28,14
textures,28,13
obstacles,28,14
aliens,28,8
gba,28,9
inside,28,13
woman,28,13
blocks,28,13
anno,28,8
rooms,28,10
pain,28,13
mansion,28,12
ken,28,12
greatness,28,14
ogre,28,7
label,28,13
care,28,14
protection,28,12
silicon,26,9
models,26,12
lighting,26,12
awesome,26,12
freedom,26,13
platforms,26,11
spiritual,26,7
rts,26,10
answer,26,12
remotes,26,9
gerudo,26,12
comparison,26,13
hookshot,26,7
sfa,26,2
scientists,26,8
original,26,13
ver,26,1
landscapes,26,13
mechanics,26,11
sessions,26,10
directions,26,12
trial,26,11
husband,26,13
pace,26,12
spots,26,9
grandson,26,13
goal,26,10
text,26,11
lights,26,12
gate,26,11
server,26,9
block,26,12
wife,26,11
pistols,26,9
television,26,12
scores,26,13
clock,26,12
reviewers,26,13
spells,26,13
gamethe,26,13
soldier,26,11
ups,26,10
nightmare,26,10
opportunity,26,13
limits,26,11
element,26,13
hawx,26,7
sephiroth,26,9
ssx,26,5
article,26,3
total,26,13
roll,26,11
lake,26,12
worth,26,13
pacific,26,8
only,26,12
driving,26,9
steel,26,11
web,26,10
discs,26,10
platformer,26,13
didnt,26,13
brothers,26,13
peach,26,13
audio,26,12
bullets,26,11
dozens,26,10
they,26,9
buying,26,11
usb,26,11
center,26,13
sorts,26,12
sky,26,12
elo,26,7
laugh,26,13
extras,26,12
cup,26,10
cpu,26,11
videogame,26,12
inch,26,10
cartoon,26,12
task,26,11
gannon,26,8
performance,24,10
noise,24,12
itthe,24,12
came,24,12
iti,24,12
nature,24,11
project,24,12
loss,24,12
intro,24,12
shoot,24,12
acting,24,11
firing,24,12
any,24,12
living,24,12
email,24,11
thoughts,24,11
weekend,24,11
studios,24,10
medium,24,12
tape,24,6
endings,24,12
pads,24,12
reviewer,24,11
sites,24,11
rubber,24,11
baby,24,11
conclusion,24,12
much,24,10
curve,24,11
figure,24,12
country,24,12
teen,24,9
atlantis,24,7
movements,24,11
hunter,24,11
aeris,24,9
freeman,24,8
logitech,24,12
bubble,24,11
seat,24,12
sages,24,10
fmv,24,10
armor,24,11
anniversary,24,8
islands,24,9
cavern,24,12
ring,24,10
designers,24,12
corners,24,11
minecraft,24,4
choices,24,10
paper,24,12
huge,24,11
playability,24,11
turns,24,12
oct,24,2
setup,24,12
rules,24,11
model,24,9
input,24,11
magazines,24,10
hair,24,8
speech,24,9
hook,24,11
mom,24,12
beach,24,11
comments,24,11
loz,24,7
scheme,24,12
atlus,24,6
ubisoft,24,6
tokens,24,6
fingers,24,11
selling,24,12
faces,24,12
profile,24,10
guess,24,11
football,22,5
installments,22,9
arsenal,22,11
sides,22,9
orders,22,10
screens,22,10
underworld,22,3
sprites,22,10
attempt,22,10
hints,22,10
lttp,22,1
skaarj,22,3
delay,22,8
batteries,22,9
cast,22,11
videogames,22,9
appearance,22,10
angles,22,11
youtube,22,10
missile,22,5
fifa,22,4
frames,22,6
got,22,11
tune,22,9
mountains,22,10
means,22,10
ghosts,22,10
cuz,22,8
army,22,9
tips,22,11
dash,22,10
platinum,22,9
steam,22,6
tool,22,8
booklet,22,11
vehicle,22,9
rifle,22,9
experiment,22,10
programs,22,8
trophy,22,7
grade,22,10
location,22,9
youre,22,9
boys,22,10
grips,22,10
credit,22,9
hart,22,5
rebel,22,6
jumps,22,9
shoes,22,11
spyro,22,9
steps,22,10
mix,22,10
spiderman,22,7
peace,22,10
cities,22,11
netflix,22,9
mac,22,10
maze,22,9
grenade,22,9
rush,22,9
reality,22,11
targets,22,9
clone,22,6
emulator,22,11
dinosaurs,22,9
portion,22,10
park,22,6
deep,22,5
strategies,22,8
college,22,10
seeds,22,8
rescue,22,9
medallions,22,5
batman,22,5
gamepad,22,9
errors,22,10
slowdown,22,9
roster,22,10
expert,22,10
paul,22,7
multi,22,10
knight,22,11
feild,22,4
skins,22,9
surroundings,22,5
hint,22,9
amazoncom,22,9
nobody,20,8
justice,20,9
wand,20,3
covers,20,10
twilight,20,9
predecessor,20,7
racer,20,7
miyamoto,20,7
upgrade,20,9
troops,20,8
bargain,20,9
storylines,20,9
infinity,20,5
nevada,20,6
disks,20,8
par,20,10
respect,20,9
career,20,8
stats,20,7
hawk,20,10
tone,20,8
finish,20,10
capacity,20,7
win,20,10
keys,20,9
concern,20,7
bugs,20,10
cds,20,6
pistol,20,9
download,20,9
hdtv,20,9
fear,20,10
iron,20,10
seasons,20,9
warning,20,10
desktop,20,8
fft,20,6
foes,20,8
hunt,20,10
downloads,20,7
penny,20,10
companies,20,8
info,20,9
presentation,20,9
wrestler,20,7
holes,20,10
law,20,8
collectors,20,8
cart,20,8
ashes,20,6
uka,20,4
rupees,20,4
mole,20,10
doesnt,20,9
destruction,20,10
commentary,20,7
lcd,20,9
ease,20,10
gordon,20,7
souls,20,10
dinosaur,20,9
instruction,20,9
google,20,9
todays,20,9
aircraft,20,6
charecters,20,7
weaknesses,20,10
good,20,10
shift,20,8
plane,20,10
kick,20,10
creators,20,10
mazes,20,8
sports,20,9
squad,20,7
long,20,10
trilogy,20,10
mods,20,6
calavera,20,10
cricket,20,4
captain,20,9
rage,20,9
enough,20,9
mic,20,5
dpad,20,8
trucks,20,7
clues,20,9
mother,20,9
weight,20,10
episode,20,7
butt,20,10
limitations,20,8
glitch,20,10
favor,20,10
somebody,20,10
teams,20,8
default,20,9
chances,20,9
virtual,20,10
caves,20,10
cups,20,10
darkness,20,8
tanks,20,8
shotgun,18,7
talk,18,9
situations,18,9
mirror,18,6
wonder,18,9
prix,18,7
nina,18,7
bridge,18,8
scratch,18,9
big,18,8
pleasure,18,9
scientist,18,9
overall,18,9
structure,18,7
blade,18,9
rain,18,8
spin,18,9
joke,18,8
crime,18,8
bits,18,8
comedy,18,8
solo,18,9
nerves,18,9
junk,18,9
fame,18,5
skulltulas,18,8
trash,18,9
sections,18,9
realm,18,9
taste,18,8
rip,18,9
bazooka,18,8
requirements,18,7
partner,18,8
menus,18,9
layouts,18,9
zombie,18,8
chocobos,18,9
warrior,18,7
second,18,9
pink,18,7
close,18,9
amazing,18,9
degrees,18,8
tale,18,9
lost,18,7
tradition,18,9
basics,18,6
ninja,18,5
disney,18,9
hub,18,9
wear,18,9
dreams,18,7
operating,18,9
interactive,18,7
food,18,8
girls,18,9
kill,18,9
scenarios,18,6
streets,18,8
cove,18,7
dimension,18,7
suspense,18,7
wiring,18,4
sons,18,7
difficulties,18,8
cool,18,9
snowboard,18,5
angel,18,8
pilot,18,9
warped,18,4
jones,18,9
plays,18,9
shields,18,9
shortcuts,18,9
cash,18,9
domain,18,9
dozen,18,9
heads,18,9
satisfaction,18,9
palms,18,6
tools,18,9
advance,18,9
gang,18,8
feathers,18,6
lock,18,7
supply,18,9
volume,18,8
situation,18,8
views,18,9
ffx,18,5
father,18,9
forum,18,5
mako,18,7
sniper,18,7
foot,18,8
learning,18,9
gorons,18,9
emulators,18,8
revelation,18,8
women,18,8
microphones,18,7
horror,18,7
lord,18,8
whole,18,8
films,18,7
airplane,18,2
paths,18,9
polygons,18,8
states,18,8
medals,18,5
silent,18,5
artifact,18,7
smash,18,8
buildings,18,8
members,18,9
contact,18,9
tifa,18,8
decade,18,9
angle,18,9
average,18,7
count,18,7
thumb,16,5
industry,16,8
least,16,7
lover,16,8
ebay,16,8
wood,16,8
bros,16,6
designs,16,8
hey,16,7
michael,16,8
freezing,16,7
classes,16,8
valve,16,5
chamber,16,5
perspective,16,8
tooie,16,8
whats,16,8
trigger,16,8
lovers,16,8
beginner,16,8
kakariko,16,7
them,16,6
girlfriend,16,8
dive,16,8
lightning,16,7
mics,16,4
replayability,16,8
english,16,8
knights,16,7
devices,16,8
psone,16,6
belly,16,8
was,16,7
mark,16,7
patches,16,7
stealth,16,8
craig,16,8
knowledge,16,8
fav,16,8
streetfighter,16,5
dad,16,8
shadows,16,4
aim,16,8
crashes,16,8
china,16,8
majoras,16,8
instance,16,7
comfort,16,8
shortcut,16,5
alternative,16,7
windwaker,16,5
san,16,5
boyfriend,16,8
jobs,16,7
blue,16,8
zombies,16,6
assault,16,6
developer,16,6
rounds,16,8
struggle,16,8
betrayal,16,4
banana,16,6
tech,16,7
shelf,16,6
emotion,16,7
innovation,16,6
slots,16,8
companion,16,6
gameshark,16,7
community,16,5
leg,16,6
japan,16,8
avalanche,16,7
rule,16,8
medal,16,7
uses,16,8
venice,16,7
manner,16,8
flash,16,8
cod,16,6
trials,16,8
dialog,16,6
bullet,16,8
hunting,16,8
puzzels,16,6
sweat,16,6
beatles,16,8
trove,16,5
max,16,6
genesis,16,8
converter,16,4
spiral,16,5
ledge,16,5
spiders,16,8
koji,16,7
object,16,7
drawback,16,8
lead,16,6
speeds,16,7
squaresoft,16,7
nephew,16,7
mmmm,16,1
nali,16,4
farm,16,8
specialty,16,3
aonuma,16,1
variations,16,7
morning,16,8
reading,16,8
tank,16,8
handful,16,8
villain,16,6
dream,16,8
cage,16,3
sets,16,8
peak,16,8
stop,16,7
mushroom,16,8
strengths,16,8
some,16,6
bowling,16,8
worm,16,1
cruise,16,5
drm,16,8
praise,16,7
bag,16,8
needs,16,7
wacker,16,1
pretty,16,8
indiana,16,8
balloons,16,5
capabilities,16,6
blows,16,8
willmore,16,8
cutscene,16,7
sale,16,8
genius,16,8
powerups,16,8
mike,14,5
fbi,14,3
begining,14,6
failure,14,7
sign,14,6
circumstances,14,6
igs,14,1
england,14,5
wasnt,14,7
treasures,14,5
machines,14,6
gadgets,14,7
coop,14,3
panel,14,5
glory,14,7
gannondorf,14,7
extent,14,7
clanker,14,6
execution,14,6
connections,14,7
sea,14,6
images,14,5
radio,14,6
layout,14,7
bed,14,7
singleplayer,14,6
scale,14,7
bat,14,6
walk,14,4
edges,14,6
survival,14,7
hard,14,7
ranch,14,6
split,14,6
asb,14,2
influence,14,5
destiny,14,7
even,14,5
thumbs,14,7
rumble,14,6
danger,14,6
winner,14,7
imo,14,7
leap,14,7
trend,14,5
candy,14,7
bin,14,6
hopes,14,7
trophies,14,7
champion,14,5
deathtrap,14,6
interference,14,7
breaks,14,6
surfaces,14,7
read,14,7
components,14,6
kombat,14,7
folks,14,7
hes,14,6
wolverine,14,6
check,14,6
hearts,14,7
gamespot,14,6
weekends,14,6
towns,14,7
scion,14,5
actionadventure,14,5
moon,14,7
skeletons,14,6
handling,14,7
language,14,6
black,14,6
talent,14,6
drama,14,7
finger,14,7
prison,14,5
multitude,14,7
usa,14,6
heat,14,7
servers,14,6
screams,14,5
humans,14,6
thq,14,6
televisions,14,5
bret,14,4
lego,14,5
down,14,5
weather,14,7
math,14,5
freak,14,6
enviroments,14,7
queen,14,6
weakness,14,5
tony,14,7
moo,14,4
hoth,14,6
backpack,14,6
definition,14,7
switches,14,6
packs,14,6
ffvii,14,6
positions,14,7
factory,14,6
tube,14,6
solutions,14,6
library,14,7
clue,14,7
ridden,14,2
clothes,14,6
tekkens,14,3
anyways,14,6
globe,14,5
bad,14,7
mesa,14,5
deathmatch,14,5
aluminum,14,5
navigation,14,5
boot,14,7
dice,14,6
mouth,14,7
approach,14,6
thinking,14,7
vocals,14,5
chrono,14,4
circle,14,7
magazine,14,6
psylocke,14,6
grenades,14,6
gameit,14,7
york,14,4
goodies,14,7
debut,14,6
platformers,14,5
miles,14,6
bubbles,14,3
extenders,14,5
doctor,14,6
reward,14,7
originality,14,7
playstaion,14,4
havent,14,7
boots,14,6
craft,14,4
prequel,14,6
objective,14,7
cat,14,7
hylia,14,7
know,14,5
say,14,7
raceway,14,2
namco,14,6
gobi,14,4
tootie,14,3
haha,14,5
custom,14,7
icon,14,7
tide,14,2
there,14,4
winter,14,7
rewards,14,7
destination,14,6
villains,14,5
stress,14,7
window,14,7
vendor,14,7
jinjos,14,6
stock,14,7
wouldnt,14,7
watch,14,6
galaxy,14,7
titanic,14,5
marks,14,7
crowd,14,7
department,14,7
rybka,14,5
hack,14,7
other,14,6
anime,14,6
tie,14,5
spear,14,5
feedback,14,7
actions,14,7
record,14,7
real,14,7
crisis,12,4
shigeru,12,5
transformation,12,3
expressions,12,5
fields,12,6
yeah,12,6
egypt,12,6
lands,12,6
natla,12,5
capability,12,6
bats,12,6
controler,12,5
stockfish,12,2
spell,12,6
sail,12,1
gamestop,12,6
conditions,12,5
fix,12,6
thrilling,12,6
focus,12,6
minion,12,6
sales,12,5
membership,12,4
jet,12,6
skulltula,12,3
customers,12,5
naboo,12,6
wit,12,6
scope,12,6
chocobo,12,6
buddy,12,5
dogs,12,6
buck,12,6
left,12,4
news,12,5
old,12,6
voodoo,12,5
stadium,12,6
techniques,12,5
diddy,12,6
premium,12,5
inventory,12,4
packages,12,5
meaning,12,5
tad,12,6
iguana,12,3
tim,12,5
worries,12,6
sweet,12,6
rareware,12,6
evidence,12,5
treat,12,6
beats,12,6
method,12,6
attempts,12,6
glottis,12,4
stand,12,6
bucket,12,5
resident,12,5
architecture,12,6
spaceship,12,6
media,12,6
potential,12,6
bet,12,6
interaction,12,6
degree,12,6
viii,12,5
explosion,12,6
fairies,12,5
crabs,12,6
diamond,12,6
regret,12,6
pocket,12,3
jigsaw,12,5
defect,12,6
motorcycle,12,4
christina,12,4
cinematics,12,6
cousins,12,6
zero,12,6
deco,12,6
launch,12,6
royal,12,5
precision,12,6
sims,12,6
flower,12,6
coordination,12,6
matters,12,6
guardian,12,5
detection,12,6
animal,12,5
production,12,6
peru,12,6
spite,12,5
